date,flow
2023-04-06 19:50:00,0.012016
2023-04-06 19:55:00,0.011939
2023-04-06 20:00:00,0.011818
2023-04-06 20:05:00,0.011649
2023-04-06 20:10:00,0.011466
2023-04-06 20:15:00,0.011464
2023-04-06 20:20:00,0.011274
2023-04-06 20:25:00,0.011256
2023-04-06 20:30:00,0.011117
2023-04-06 20:35:00,0.010934
2023-04-06 20:40:00,0.010907
2023-04-06 20:45:00,0.010936
2023-04-06 20:50:00,0.010624
2023-04-06 20:55:00,0.010501
2023-04-06 21:00:00,0.010539
2023-04-06 21:05:00,0.010373
2023-04-06 21:10:00,0.010159
2023-04-06 21:15:00,0.010165
2023-04-06 21:20:00,0.00993
2023-04-06 21:25:00,0.009936
2023-04-06 21:30:00,0.009805
2023-04-06 21:35:00,0.009388
2023-04-06 21:40:00,0.009372
2023-04-06 21:45:00,0.009349
2023-04-06 21:50:00,0.009296
2023-04-06 21:55:00,0.009084
2023-04-06 22:00:00,0.009205
2023-04-06 22:05:00,0.009003
2023-04-06 22:10:00,0.008912
2023-04-06 22:15:00,0.008854
2023-04-06 22:20:00,0.008678
2023-04-06 22:25:00,0.008668
2023-04-06 22:30:00,0.008615
2023-04-06 22:35:00,0.008633
2023-04-06 22:40:00,0.008564
2023-04-06 22:45:00,0.008524
2023-04-06 22:50:00,0.008459
2023-04-06 22:55:00,0.008396
2023-04-06 23:00:00,0.008404
2023-04-06 23:05:00,0.008351
2023-04-06 23:10:00,0.008333
2023-04-06 23:15:00,0.008308
2023-04-06 23:20:00,0.008248
2023-04-06 23:25:00,0.008238
2023-04-06 23:30:00,0.008229
2023-04-06 23:35:00,0.008103
2023-04-06 23:40:00,0.008052
2023-04-06 23:45:00,0.008022
2023-04-06 23:50:00,0.007952
2023-04-06 23:55:00,0.007955
2023-04-07 00:00:00,0.007893
2023-04-07 00:05:00,0.00778
2023-04-07 00:10:00,0.007687
2023-04-07 00:15:00,0.0076
2023-04-07 00:20:00,0.007451
2023-04-07 00:25:00,0.007337
2023-04-07 00:30:00,0.007225
2023-04-07 00:35:00,0.007028
2023-04-07 00:40:00,0.006995
2023-04-07 00:45:00,0.006906
2023-04-07 00:50:00,0.006854
2023-04-07 00:55:00,0.006877
2023-04-07 01:00:00,0.006829
2023-04-07 01:05:00,0.006701
2023-04-07 01:10:00,0.00662
2023-04-07 01:15:00,0.006716
2023-04-07 01:20:00,0.007041
2023-04-07 01:25:00,0.008402
2023-04-07 01:30:00,0.012617
